Term,Occurrence (ead_ID),Field,Collection,Context,Context (extended)
Benevolent Assimilation,umich-bhl-86354,bioghist,Finding Aid for Dean C. Worcester Papers,"McKinley asked Worcester to join a ""civilian commission composed of men skilled in diplomacy and statesmanship"" as requested by Admiral Dewey who was alarmed at the rejection by the newly declared Filipino government of the U.S. program of benevolent assimilation.;  Through his participation in both the First and Second Philippine Commissions and in his position of Secretary of the Interior in the Commission government from 1901 to 1913, Worcester continued to have great influence on the formulation and implementation of American policy in the Philippines.",of the U.S. program of Benevolent Assimilation .; Through his participation in
Colonial,umich-bhl-8772,bioghist,"Finding aid for Luce Philippine Project interviews, 1975-1980","In 1977 the University of Michigan Center for South and Southeast Asia Studies received support from the Henry Luce Foundation for a three-year project on ""U.S.-Philippine Interactions as Reflected in Oral Histories."" One part of the grant-funded project was to provide monies to Michigan faculty and students undertaking oral history, both in the Philippines and among Filipinos and Americans with Philippine experience (former diplomats, teachers, missionaries, servicemen, colonial officials, etc.) in the United States.","(former diplomats, teachers, missionaries, servicemen, Colonial officials, etc.) in the United"
Colonial,umich-bhl-85419,scopecontent,"Finding aid for Owen A. Tomlinson papers, 1899-1920","Within the Photograph series will be found six albums containing photos of Philippine Constabulary and U.S. Army personnel, and other colonial officials, Philippine people of the Mountain and Nueva Vizcaya provinces including Bontoc, Igorot, and Ifugao people, headhunter ceremony, travel in China, and a visit of Dean C.","U.S. Army personnel, and other Colonial officials, Philippine people of the"
Colonial,umich-bhl-851733,bioghist,Finding Aid for Harry Burns Hutchins papers,"Mary Hutchins was a member of many organizations including the Daughters of the American Revolution, a Regent of the Sarah Caswell Angell Chapter, the National Committee for the American flag, the Michigan Chapter of Colonial Dames, the American Association of University Women (Ann Arbor branch), the Faculty Women's Club, and a founding member of the Ann Arbor Women's Club.","flag, the Michigan Chapter of Colonial Dames, the American Association of"
Colonial,umich-bhl-851764,abstract,"Finding aid for George A. Malcolm papers, 1896-1965","Correspondence, scrapbooks, printed reports, articles, and legal opinions, diplomas, citations, memorabilia, manuscript of book, 1956, entitled, ""Sunset of Colonialism: memoirs of an American Colonial Careerist"": decisions, 1909-1939, made while a jurist in the Philippines; copies of addresses and legal articles; and photographs.","Colonialism: memoirs of an American Colonial Careerist"": decisions, 1909-1939, made while"
Colonial,umich-bhl-8868,scopecontent,"Finding aid for Blanchard Family Papers, ca. 1835-ca. 2000","The Blanchard Family Papers will be of value to researchers interested in a variety of topics: scientific endeavors and methodologies (and in particular those related to agronomy, nematology, botany, and herpetology); the visual arts and the development of photography in the late nineteenth and early twentieth centuries; colonial and provincial life in Australia and Hawaii (respectively); and the daily affairs of American (and Michigan) families throughout the twentieth century.",nineteenth and early twentieth centuries; Colonial and provincial life in Australia
Colonial,umich-bhl-86354,bioghist,Finding Aid for Dean C. Worcester Papers,"Worcester's influence on American colonial policy and the various and controversial roles he played in the Philippines from his first visit in 1887 to his death in Manila in 1924: scientist, government official, propagandist and entrepreneur, earned him both accolades and deep resentment.",Worcester's influence on American Colonial policy and the various and
Colonialism,umich-bhl-851764,abstract,"Finding aid for George A. Malcolm papers, 1896-1965","Correspondence, scrapbooks, printed reports, articles, and legal opinions, diplomas, citations, memorabilia, manuscript of book, 1956, entitled, ""Sunset of Colonialism: memoirs of an American Colonial Careerist"": decisions, 1909-1939, made while a jurist in the Philippines; copies of addresses and legal articles; and photographs.","book, 1956, entitled, ""Sunset of Colonialism : memoirs of an American"
Colonists,umich-bhl-851764,subjects,"Finding aid for George A. Malcolm papers, 1896-1965",Judges -- Philippines.; Law.; Lawyers -- Philippines.; Capitols -- Michigan -- Lansing.; Colonists.; Judges -- Philippines.,Capitols -- Michigan -- Lansing.; Colonists .; Judges -- Philippines.
Colonists,umich-bhl-86354,subjects,Finding Aid for Dean C. Worcester Papers,Voyages and travels.; Americans -- Philippines.; Anthropology.; Colonists.; Filipinos.; Soldiers -- United States.; Spaniards -- Philippines.; Warships.,travels.; Americans -- Philippines.; Anthropology.; Colonists .; Filipinos.; Soldiers -- United
Colony,umich-bhl-86354,bioghist,Finding Aid for Dean C. Worcester Papers,"With Dewey's victory over the Spanish in Manila Bay (May 1, 1898), Worcester began to think of the exciting prospect of the Philippines as an American colony.",the Philippines as an American Colony .
Colony,umich-bhl-8868,bioghist,"Finding aid for Blanchard Family Papers, ca. 1835-ca. 2000","He did, however, join the Linnaean Society of New South Wales in 1889 and later that year received a temporary appointment at the University of Sydney.;  When the government of New South Wales (NSW) formed a Department of Agriculture in 1890, Cobb was appointed as the colony's first vegetable pathologist.",Cobb was appointed as the Colony 's first vegetable pathologist.
Commonwealth of the Philippines,umich-bhl-851764,bioghist,"Finding aid for George A. Malcolm papers, 1896-1965",He remained on the court as associate justice and presiding justice until the inauguration of the Commonwealth of the Philippines in 1935.,until the inauguration of the Commonwealth of the Philippines in 1935.
Commonwealth of the Philippines,umich-bhl-852085,bioghist,"Finding aid for Manuel Luis Quezon papers, 1909-1944","He was the eldest son of Lucio Quezon and Maria Dolores Molina; married Aurora Aragon, December 14, 1918; children, Maria Aurora, Maria Zeneida, and Manuel, Jr. Quezon was educated at the San Juan de Letrán College (B.A., summa cum laude, 1894) and University of Santo Tomás (Ll. B., 1903).;  Provincial fiscal of Mindoro, 1903-1906; Municipal Concilor of Tayabas, Tayabas, 1906 (Resigned to run as governor of Tayabas Province, 1906); Co-founder of the Partido Independista Inmediata 1906-1907; Governor of Tayabas Province, 1906; First assemblyman from Tayabas to the First Philippine Assembly, 1907; Resident Commissioner of the Philippines to the United States, 1909-1917 (re-elected 1911, 1913, 1915); President of the Senate, 1916-1935; First President of the Commonwealth of the Philippines, 1935-1941; of the Commonwealth government-in-exile (Washington, D.C., U.S.A.), 1941-1944.","1916-1935; First President of the Commonwealth of the Philippines , 1935-1941; of the Commonwealth"
