,ead_id,abstract,language,scopecontent,persnames,bioghist,custodhist,subjects,genreforms,geognames,corpnames
0,umich-scl-adler,"The Joseph T. and Marie F. Adler Archive of Holocaust and Judaica Materials contains material related to Judaism, Jewish culture, and the international Jewish community, largely during the 20th century. A large portion of the collection relates to the Holocaust and its aftermath, as well as anti-Semitism in general.",English,Several monographs from Mr. Adler's library have been retained with the collection. Photographs are scattered throughout the collection.,"Adler, Joseph T., Adler, Marie F.",,,,,,
1,umich-scl-ams0025,"This collection is comprised of a typescript carbon copy of Maria C. Lanzar-Carpio's doctoral dissertation, titled ""The Anti-Imperialist League"" (University of Michigan, 1928), and three letters to Lanzar-Carpio. This is part of the larger Lanzar-Carpio Collection, which also includes the Herbert Welsh Papers as well as the Erving Winslow Papers.","
      English
    ","These four items include a typescript carbon copy of Maria C. Lanzar-Carpio's doctoral dissertation, titled ""The Anti-Imperialist League"" (University of Michigan, 1928), and three letters to Lanzar-Carpio.",,"Dr. Maria Lanzar-Carpio was a Political Science PhD from the University of Michigan. She was particularly interested in the Anti-Imperialist League and the United States' efforts to annex the Philippines. Her disseration, ""The Anti-Imperialist League"" was completed in 1928. She went on to teach political science at the University of the Philippines. She later married Victorio Carpio, an attorney. The papers she gathered in her dissertation research were given to her by Herbert Welsh, a fellow political reformer, whose papers are also in this library's collection.",,,,,
2,umich-scl-ams0059,"American political figure in the late 19th and early 20th centuries; appointed Governor General of the Philippines in 1901; 1906-1907 served as the ambassador to Japan; appointed Secretary or War under President Theodore Roosevelt from 1908-1909.

Collection includes correspondence, household budgets, invitations, letters of reference, documents, clippings and photographs reflecting aspects of Wright's diplomatic career in the Philippines, Japan and the United States. The bulk of the collection covers Luke and Katherine Wright's lives during their appointment to the Philippines, 1900-1906. Of particular interest are letters from Theodore Roosevelt, William Taft and Leonard Wood.","
      English
    ","The collection is arranged in three series: Philippines, Japan and the United States. Under each main series are sub-series of correspondence, documents, clippings and photographs. The majority of material is from the Philippines series.
The Philippines series consists of correspondence, documents, clippings and photographs. The majority of correspondence consists of incoming and outgoing letters to Wright with the bulk of letters dating from 1900-1905. Many of the letters are requests for jobs from a variety of military, personal and political contacts from Tennessee and letters of introduction. Letters of interest include correspondence from Theodore Roosevelt, William Taft and Leonard Wood. Included is a typed letter signed by President Theodore Roosevelt informing Wright he would replace Taft as Governor General of the Philippines.
The documents sub-series include field reports from various civil government servants in areas outside of Manila. Clippings include an undated supplement from the Manila Times Newspaper. In the photographs sub-series a photograph of the three Philippines Commissioners Luke Wright, William Taft and Henry Ide is included along with two albums of photographs of various events and places in the Philippines. Album One includes interior and exterior views of Malacanan Palace, Wright's official residence in Manila. Album 2 is an assortment of 65 pictures of Philippine landscapes, architecture and indigenous peoples.
The Japan series reflects the one year Wright spent as Ambassador to Japan. Correspondence includes letters addressed to his wife Katherine Wright. The documents sub-series include a variety of calling cards or visiting cards as well as invitations to a variety of social and political events. In the clippings sub-series, a scrapbook filled with newspaper articles from various sources highlight Wright's career as the ambassador to Japan. Many articles discuss the topic of Wright's resignation amid a climate of  anti-Japanese racism in California. 
The United States series is the smallest series consisting of one letter dating from 1883, receipts, and the book cover only of the Annual Report of the Secretary of War from 1911.",,"Luke Wright was born in Pulaski, Tennessee on August 29, 1846 and died November 17, 1922. As a teenager he enlisted in the Confederate Army during the American Civil War. He then attended the University of Mississippi and practiced law in Memphis, Tennessee. His spouse was named Katherine Semmes Wright.
In 1900, he was appointed by President William McKinley to be part of a commission to establish a civil government in the Philippines. In 1901 William Taft was named Governor General of the Philippines and Wright Vice-Governor General. Wright would eventually succeed Taft and become Governor General of the Philippines from 1904-1906, and his successor was Henry Clay Ide.
Wright was later appointed by President Theodore Roosevelt as the Ambassador to Japan from 1906-1907. From 1908 to 1909, Wright served as United States Secretary of War under Roosevelt.",,,,,
3,umich-scl-ams0066,Consists of 10 letters from Arthur Lowell to Iva Hutchinson and 2 from Will Hutchinson to Iva Hutchinson.,"
      English
    ","Corporal Arthur J. Lowell, Company ""D"", 35th Infantry, U.S. Army, wrote these ten letters to Iva Hutchinson between February 14, 1900 and January 10, 1901. Lowell writes of going into the mountains to ""clear out insurectos,"" the number of dead and captured, the use of water torture on Filipino prisoners, eating bats, his plan to translate into English the history of the Philippines that had been written on shells, the upcoming U.S. Presidential election, and a continuous thread concerning when he would be returning home. Also included are two letters from Will Hutchinson to his sister Iva Hutchinson. These are dated September 8, 1899 and May 27, 1900.",,"Corporal Lowell was stationed near Baliuag, Bulacan Province, Luzon (Philippine Islands) from approximately 1899 through [April] 1901. Lowell, a volunteer from Baker City, Oregon, met Iva Hutchinson through her brother, Will, who was also serving in the 35th Infantry. Iva Hutchinson, occupation unknown, lived in Union, Oregon, but also spent significant time in the San Francisco area.",,,,,
4,umich-scl-ams0067,"Two typed reports by General John J. Pershing on his expeditions in the Philippines. The first is of an expedition along the West shore of Lake Lanao from Camp Vicars to Marshui (May 15, 1903). The second is a typed report on an earlier expedition along Lake Lanao on Febuary 20, 1902.","
      English
    ","This collection consists of one folder containing typed reports, prepared by John J. Pershing. The first is of an expedition along the West shore of Lake Lanao from Camp Vicars to Marshui (May 15, 1903). The second is a typed report on an earlier expedition along Lake Lanao on Febuary 20, 1902.",,"John Joseph ""Black Jack"" Pershing, GCB (Hon) (September 13, 1860 – July 15, 1948) was the only person to be promoted in his own lifetime to the rank of General of the Armies of the United States, the highest rank in the United States Army. A career Army officer, Pershing served in the Philippines as an adjutant general and engineer officer, collector of customs, and cavalry squadron commander, participating in actions against the Tausug (Moros), 1899-1903. He was later appointed governor of Moro Province and commander  of the Department of Mindanao, 1909-1913. Pershing was well-known for his command of the American Expeditionary Forces in France during World War I, 1917-1919. He began his Army service in the Spanish American War in 1898 as a First Lieutenant. In June 1901, he served as Commander of Camp Vicars in Lanao, Philippines, and was cited for bravery at Lake Lanao.",,,,,
5,umich-scl-ams0074,"Forms part of the Janice Bluestein Longone Culinary Archive. This collection includes materials promoting a wide variety of food products, ranging from snacks to salad dressings to pickles to desserts. Most are published by corporations that produce multiple, sometimes unrelated, food products. Publications date form 1873-1995, with most from the 1930s-1970s.","
      English
    ","Forms part of the Janice Bluestein Longone Culinary Archive. This collection includes materials promoting a wide variety of food products, ranging from snacks to salad dressings to pickles to desserts. Most are published by corporations that produce multiple, sometimes unrelated, food products. Publications date form 1873-1995, with most from the 1930s-1970s. Corporate authors of particular note include H. J. Heinz and Co., General Food Corporation, Hunt-Wesson Foods, and Kraft Foods.",,,The Janice Bluestein Longone Culinary Archive (JBLCA) transferred from the William L. Clements Library in June 2013.,"Janice Bluestein Longone Culinary Archive., Culinary ephemera (Promotional)., Cereals Prepared., Cereal products., Snack foods., Cooking (Cereals)., Cooking., Desserts., Cereal products industry--United States., Snack food industry--United States., Salads., Salad dressing., Vinegar., Soups., Vegetarian cooking., Pickles., Canning and preserving., Vinegar., Holiday cooking., Outdoor cooking., Menus., Eyeglasses., Stoves Electric., Electric cooking., Canning and preserving., Baking., Nutrition., Kitchen utensils., Household appliances Electric., Cooking--Equipment and supplies., Home economics--Equipment and supplies.",,,
6,umich-scl-ams0004,"This collection contains material related to the Philippine-American War of 1899-1902. The first series, which makes up the bulk of the collection, is related to the American captain Harry Dey and includes records of battles and skirmishes, quotidien life for American troops in San Francisco and in the Philippines, promotions, roll-calls, maps, a number of photographs, and other material. The second series is the Leyte and Samar Revolutionary Papers (1897 – 1901), which contain correspondence, records, certificates, and other material from Filipino forces.","The collection is comprised of material in Tagolog, Spanish, and English, with very occasional Japanese.","The Harry Dey series contains documents, photographs, records, and memorabilia related to American military presence in the Philippines before and during the war. It also contains photographs related to military life in and around San Francisco, CA. The Leyte and Samar Revolutionary Papers series contains documents, records, and correspondence from Philippine military sources, including Mariano Pacheco and Ambrosio Moxica.",,"After the Spanish-American War, the United States continued its military presence in the Philippines. The Philippine-American War of 1899-1902 grew out of tension surrounding that presence as well as the policy of the US government not to recognize the sovereignty of the Philippines' new government. The collection is comprised of material from both sides of the conflict.",,,,,
7,umich-scl-ams0047,"Harley Harris Bartlett was a University of Michigan botanist who conducted field research in Sumatra, Haiti, Taiwan, the Philippines, and across South America. This collection, housed at the SCRC, contains material related to the Southern Philippines in the early 20th century. It includes a typescript account of Aguinaldo's arrest by U.S. troops (in Spanish), translations of articles from the Voz de Mindanao, American reports on Moro Province (now the Department of Mindanao and Sulu), a transcript copy of the sentence passed by an American court in the Philippines in United States vs. Panglima Indanan, and American military reports.

For material related to Bartlett's long career in botany, see the Harley Harris Bartlett Papers: 1909-1960 at the University of Michigan Bentley Historical Library.",The collection contains material in English and Spanish.,"The collection is comprised of 20 folders of print and manuscript material related to the Southern Philippines in the early twentieth century, including the Philippine-American War and the Moro Rebellion. It  contains very little related to Bartlett's work in botany (for more on Bartlett's career, see the see the Harley Harris Bartlett Papers: 1909-1960 at the University of Michigan Bentley Historical Library).",,"Harley Harris Bartlett was a botanist, biochemist, and anthropologist based at the University of Michigan as a professor of botany and director of the Botanical Gardens. Much of his fieldwork was done in Sumatra, where he studied the language and culture of the Batak of Asahan. As a botanist, he specialized in rubber plants and production. In 1934-5, he taught at the University of the Philippines; in 1948, he was named educational consultant for the Philippines in the United States and became chairman of the Commission on the Philippines.",,,,,
8,umich-scl-ams0060,"The collection is organized in two series: Papers and Photographs. The Papers series consists of Williams's reminiscences of his experiences as a military officer in the Philippine Constabulary stationed in the mountain district of North Central Luzon, particularly his essay Spear and Bolo Interlude (68 [i.e., 72] p., typescript with holograph corrections); of his employment by the Standard-Vacuum Oil Company of New York in the South China Division, including an essay and a report describing the Japanese invasion of Hong Kong in 1941 and his subsequent six-month imprisonment at the internment camp on Stanley Peninsula; and of a childhood friendship with a black man, accused, tried, convicted, and hung for the murder of a white policeman in Booneville, Missouri. The Papers also include documents (diploma, commission papers, passport, etc.), military memorabilia, newspaper clippings, and a large collection of photos, chiefly depicting military camps and native inhabitants of Luzon. The second half of the collection is comprised of Williams's photographs, all have been digitized with links available in this finding aid.","
      English
    ","The collection consists of Williams's reminiscences of his experiences as a military officer in the Philippine Constabulary stationed in the mountain district of North Central Luzon, particularly his essay Spear and bolo interlude (68 [i.e., 72] p., typescript with holograph corrections); of his employment by the Standard-Vacuum Oil Company of New York in the South China Division, including an essay and a report describing the Japanese invasion of Hong Kong in 1941 and his subsequent six-month imprisonment at the internment camp on Stanley Peninsula; and of a childhood friendship with a black man, accused, tried, convicted, and hung for the murder of a white policeman in Booneville, Missouri. The Papers also include documents (diploma, commission papers, passport, etc.), military memorabilia, newspaper clippings, and a large collection of photos, chiefly depicting military camps and native inhabitants of Luzon. The second half of the collection is comprised of Williams's photographs, almost entirely of his time in the Philippines. Subjects are most often people, mostly posing for the photograph; some more candid photographs; some are of landscapes and scenery. All have been digitized with links available in this finding aid.",,"Williams (1893-1981) was an American soldier and businessman, graduate of Kemper Military School (1914), commissioned officer in the Philippine Constabulary (1914-17), marketing assistant, assistant manager, and manager in the South China Division of Standard-Vacuum Oil Company (1917-42), and major in U. S. Army during W. W. II.",,,,,
9,umich-scl-ams0064,"This collection is comprised of the Everett E. Thompson Papers and Photographs. It contains material related to American missionary and civil servant Everett E. Thompson and includes correspondence and extensive photographs from Thompson's time in the Philippines in particular and Southeast Asia in general. Photographs document Thompson's travel to different islands in the Philippines, missionary and American life there, Thompson's travel between San Francisco, Honolulu, the Philippines, Singapore, and Myanmar, and unnamed subjects from the period after Thompson's return to the United States. Many of the photographs contain descriptive notes.","
      English
    ","The collection is arranged in one manuscript box containing a variety of correspondence and three small, flat boxes of photographs. The manuscript box contains one folder of miscellaneous papers, one folder of correspondence, one full envelope of 98 letters, and one full envelope of 134 letters. The three flat boxes all contain albumen photographs in mylar. Subjects of the photographs include scenes from the American occupation of the Philippines, voyages to and from the Philippines including stops in San Francisco and Honolulu; travels in Southeast Asia, including Singapore and Myanmar.",,"Everett Thompson was a missionary in the Philippines. He was born in Springfield, Massachusetts.",,,,,
