,ead_id,source_filename,titleproper,Term,Matched_Times,Matched_From,Matched_Paragraph
0,umich-wcl-M-417alg,algerr_final.xml,Finding Aid for Russell A. Alger Family Papers,Hygiene,1,scopecontent,"             contains four sub-subseries.; The Russell A. Alger Civil War service documents sub-subseries includes original and manuscript copies of documents related to Alger's Civil War service record and actions during the conflict.  The subseries also contains two postwar documents.  One of two postwar documents is a list of Civil War battles in which Alger participated.; The Testimony of General Alger Before the War Investigation Committee is a typed copy of Russell A. Alger's testimony regarding the hygiene of American soldiers and camps during the summer of 1898, given before the Dodge Commission later that year.  The testimony includes manuscript annotations.; The Gervasio Unson proclamation and affidavits sub-subseries contains the original Spanish text and a translated English copy of Provisional Secretary Gervasio Unson's proclamation and accusations regarding the treatment of guerillas in the Philippines and the general conduct of American officials in the islands.  Several documents appended to the proclamation lend factual support to the various allegations.; The Correspondence and documents regarding Florida, Puerto Rico, and Cuba sub-subseries is made up of the following items: correspondence describing rail systems in Florida in the early 20th century; a report on the island of Puerto Rico made on March 14, 1898; letters related to military supplies during the Spanish-American War; several letters regarding the publication of Washington the Soldier by General Henry B. Carrington, including a printed copy of the book's preface; the typescript of an interview given by Russell A. Alger to Henry Campbell of the Milwaukee Journal, March 24, 1900; a booklet on regulations for import/export officers; and a printed copy of the Cuban census of 1900.; "
1,umich-wcl-M-417alg,algerr_final.xml,Finding Aid for Russell A. Alger Family Papers,Colony,1,bioghist,"         ; Russell Alexander Alger's uncle, David Baker Alger, married Margaret Richardson in the early 19th century, and by the mid-1800s the couple had settled in Richfield, Ohio.  They had four children, including:  Albert W. (b. 1849) and Richard Edwin (""R. E."" or ""Eddy"") Alger (1854-1943).  Albert resided in Colony, Kansas, in the early 20th century, and Richard remained in Richfield for most or all of his life.  Richard married Esther D. Reynolds, a strongly spiritual woman, on October 4, 1888.  The couple's children included Emma, Mary, Esther Marion, Margaret (b. 1890), and David Bruce (b. December 8, 1891).  ; David Bruce Alger attended Oberlin College in the early 1910s.  He graduated and had moved to Cleveland, Ohio, by 1916.  He married Clare Fleeman on October 13, 1916.  David Alger worked in the banking industry for much of his life and kept a series of short daily diaries from 1910 until 1973, which documented his time in Ohio, Texas, Missouri, and Florida.  Clare, an aspiring poet and writer, contributed to a variety of religious and literary publications throughout her life and was a member of the St. Louis Writers' Guild in the 1940s.; David Bruce and Clare Fleeman Alger's son, Bruce Reynolds Alger, was born in Dallas, Texas, on June 12, 1918. The family moved to Webster Groves, Missouri, a suburb of St. Louis. Bruce Alger shared his father's love for football, played for his high school football team, and, later, on Princeton University's squad.  Following his graduation from Princeton (1940) and a brief stint as a field representative for the RCA Victor Manufacturing Company, Bruce enlisted in the Army Air Corps after Japan attacked Pearl Harbor on December 7, 1941.  He was stationed with the Fifth Squadron at the Army Air Corps Advanced Flying School at Kerry Field, Texas, and he spent much of the war in training throughout the United States.  Bruce did see action in the Pacific theater in 1945, and spent time in Japan soon after the Japanese surrender.  Bruce received his discharge in November 1945, settled in Dallas, and pursued a career in real estate.  He later represented Texas' 5th District in the United States House of Representatives (1955-1965).  He returned to his real estate business in Dallas after a failed reelection bid."
2,umich-wcl-M-417alg,algerr_final.xml,Finding Aid for Russell A. Alger Family Papers,Death,1,scopecontent,"             contains eight subseries.; The Alger family correspondence subseries is divided into the seven sub-subseries: David Bruce Alger correspondence, Bruce Alger correspondence, Clare Fleeman Alger correspondence, Oberlin college correspondence and documents, Richard Edwin (""Eddy"") Alger correspondence, Albert W.  Alger correspondence, and Miscellaneous Alger family correspondence.; The David Bruce Alger correspondence contains numerous letters from Alger to his parents, Richard Edward Alger and Esther D. Reynolds, about David's time at Oberlin College in the early 20th century; the birth and early childhood of his son, Bruce Reynolds Alger; and about St.  Louis, Missouri, in the 1920s, including descriptions of ""plucky boy"" and celebrated pilot Charles Lindbergh.  Incoming correspondence consists of Civil War-era receipts; documents and letters of David Baker Alger; a letter from Russell A. Alger, Jr., to a sibling; a letter from an American soldier serving in France in 1917; several letters from David Bruce Alger's father written in 1943; and a 1975 letter regarding recent physical problems.; David Bruce Alger's  Oberlin College correspondence and documents consist of items associated with Oberlin College in the 1910s, including ephemera.  Of interest are a program from an Oberlin Glee Club concert (1912), three copies of a pamphlet for the ""Eezy Cheezers,"" and an 1882 promotional thermometer.; The Bruce Alger correspondence consists primarily of Bruce Reynolds Alger's letters to his parents, written during his time in the Army Air Corps in the Second World War.  Bruce wrote about his training at Kerry Field, Texas, and in California.  In a number of letters from 1945, he described the end of the war as he experienced it in the Pacific theater.   The sub-subseries also includes the annotated text of a 1937 chemistry examination from Princeton University, reports of Alger's academic progress at Princeton, and a newspaper article about his football career.; The Clare Fleeman Alger correspondence is made up of correspondence and documents related to David Bruce Alger's wife, Clare Fleeman Alger.  In letters to her parents and to other friends and family, Clare described her life as a newlywed and, later, as a new mother.  Miscellaneous items in this series include several religious tracts, drafts of poetry and essays, and documents regarding Bruce Reynolds Alger's academic progress at Princeton.; The Richard Edwin (""Eddy"") Alger correspondence contains incoming letters, 1885-1921, written by family members to ""Eddy"" or ""Cousin Ed."" The group also includes a typed collection of several of his short poems.; In the Albert W. Alger correspondence are a number of letters written to various family members by Albert W.  Alger.; The Additional Alger family correspondence, documents, and printed items consists of seven Civil War-era documents by various Alger family members, items related to the St.  Louis Writers' Guild, invitations to various weddings and graduation ceremonies, a marriage certificate for Melvin C. Bowman and Mary H. Parcell, and a commemorative stamp from Lundy Island.  Of note are two pages of a Civil War-era letter by John H. Houghes, who described a military engagement and the burial of a fallen soldier in the surrounding mountains. The group also contains books, pamphlets, and newspapers.  Books include the Student's Reference Work Question Manual and Russell A. Alger's copy of Roswell Smith'sEnglish Grammar on the Productive System .  The pamphlets are promotional material for a 1904 World's Fair exhibit, issues of various periodicals belonging to Clare Fleeman Alger (many of which contain her writing), and a copy ofAn Outline History of Richfield Township, 1809-1959 .  Other items are newsletters from 1916 and 1921, with contributions by Clare Fleeman Alger; a printed map of the Alger Park neighborhood in Dallas, Texas; a newspaper clipping from the St. Louis Post-Dispatch; a program from a piano recital; and scripts for two radio-based language-learning programs (French and German).; The collection includes 40 volumes of Alger family diaries.  Six volumes include a book kept by David Bruce Alger and five volumes belonging to Esther Reynolds Alger, written between 1878 and 1881.  Among other materials are an early item likely composed by Richard Edwin Alger (1891), a ""Note Book for Sunday School Teachers and Workers"" probably kept by Esther Reynolds Alger in the late 19th century, and an Esther Reynolds Alger diary from 1900.; The remainder of the series contains material, spanning 1905-1973, that belonged to David Bruce Alger. His early diaries include a ""Foxy Grandpa"" notebook (1905) and a series of annual daily journals written from 1910 to 1919.  Two five-year diaries chronicle 1920-1924 and 1926-1930, followed by single and two-year volumes kept between 1931 and 1937. An uninterrupted series of five-year volumes covers 1938-1975, although his entries taper off around 1973.  David Bruce Alger kept his diaries regularly, composing a few lines about the weather and his activities on a near-daily basis.; The Clare Fleeman Alger manuscript submission records are a series of index cards.  They are filed alphabetically by poem or essay title.  Each record contains the name of a work, the publication to which the manuscript was submitted, and the date.  The records pertain to works written in 1917 and from 1931 to 1943.  Occasional rejection letters and drafts are interfiled within the subseries.; The Receipts subseries consists of 9 items dating to the 19th century.; In the Documents subseries are manuscript copies of correspondence regarding Alger's Civil War service, made and authorized by the War Department at a later date.  The subseries also includes two typed copies of Lieutenant Philip H. Sheridan's ""Account of the Battle of Booneville,"" and two copies of a ""Statement of the Military History of Russell A. Alger.""; The Photographs subseries contains four photographs. One is a portrait of Russell A.  Alger's wife, Annette Henry Alger, labeled ""Aunt Nettie."" ; The Newspapers and clippings subseries contains a small number of short articles, dating primarily in the 1930s.  The clippings relate to various members of the Alger family; for example, one item pertains to the death of Russell A. Alger's son, Frederick Moulton Alger, in 1934.  The subseries also includes three full size Kansas City, Missouri, newspapers from 1883, 1897, and [1898]."
3,umich-wcl-M-417alg,algerr_final.xml,Finding Aid for Russell A. Alger Family Papers,Death,1,bioghist,"         ; John Alger (ca. 1776-1818) was a descendent of a Connecticut-based branch of the Alger family.  He settled in Bethany, New York, sometime after the Revolutionary War.  John married Sarah Baker in 1798; they had at least six children, including Russell (b. 1809) and David (b. 1816).  The family migrated west, eventually settling in Richfield, Ohio.; After the Alger family moved to Ohio, Russell met Catherine Moulton, daughter of a prominent Massachusetts family, and the couple married in July 1832.  Their children were Charles, Sybil, and Russell Alexander (1836-1907).  Russell Alexander Alger was born in Lafayette Township, Ohio, on February 27, 1836.  Orphaned when he was 11 years old, Russell Alexander went to work on a farm in Richfield, Ohio.  He received his education at the Richfield Academy.  In 1857, he obtained a position in the law firm of Wolcott & Upsord in Akron, Ohio, and received formal admittance to the bar in March 1859.  Later that year, he left the legal profession for a career in the lumber industry in Grand Rapids, Michigan.; Russell A. Alger married Annette H. Henry of Grand Rapids on April 2, 1861.  He enlisted in the 2nd Michigan Cavalry the same year, and received a captain's commission on September 2.  He became major on April 2, 1862, lieutenant colonel of the 6th Michigan Cavalry on October 16, 1862, and colonel of the 5th Michigan Cavalry on February 7, 1863.  Alger's Civil War service included his capture at the Battle of Booneville, Mississippi (and subsequent escape), and participation in the Battle of Gettysburg.  Although he resigned his commission on September 20, 1864, he became brevet brigadier general of the United States Volunteers on June 11, 1864, with a promotion to major general a year later.  ; After the war, Russell Alger returned to Detroit and continued his steady ascent in the lumber industry, founded a succession of firms, and became particularly noteworthy in pine lumber business.  Success in the private sector led to a Republican Party nomination for the governorship of Michigan, an office he held from 1885-1887 (he declined to run for a second term).  Alger remained a locally and nationally prominent figure in the Republican Party throughout the late 19th century, and contended for U.S. Presidential nominations in 1888 and 1892.  He became secretary of war in William McKinley's cabinet in 1897 and served throughout the Spanish-American War, resigning on August 1, 1899.  Alger received public blame for the poor hygienic conditions endured by American soldiers in both Cuba and the United States during the war, which led to outbreaks of yellow fever and other diseases.; Alger returned to Detroit and succeeded United States Senator James McMillan, serving from September 27, 1902, until his death on January 24, 1907.  Russell Alexander Alger had nine children, including five who survived to adulthood:  Caroline (m. Henry Sheldon), Fay (m. William Elder Bailey), Frances (m. Charles Burrall Pike), Russell Alexander, Jr. (m. Marion Jarves), and Frederick Moulton.; "
4,umich-wcl-F-612and,andersonm_final.xml,"Finding Aid for 
Mark A. Anderson Collection of Post-Mortem Photography",Hygiene,1,bioghist,"Death; American death practices underwent dramatic changes in the 19th and early 20th century, with corresponding changes in society's attitudes and sentiments related to death and bereavement.  During the Victorian period, some one in five children did not reach adulthood; one in four soldiers died during the Civil War; and urbanization with its crowded conditions and poor sanitation increased morbidity and mortality rates.  With the advent of modern medicine, an increase in public health and hygiene, the rise of the modern funeral industry, and other factors, the prospects of an early death decreased and the care and disposition of the corpse moved from the family to professional workers.  These and other changes altered the ways people confronted the practical and psychological aspects of death and bereavement.; Memorial Photography; Post-mortem photographs are images taken of people after death.  Memorial or post-mortem photography was common from the birth of the daguerreotype in 1839 to the 1930s.  Deaths were frequent in the 19th and early 20th centuries and many people -- especially children -- had no photograph taken of them while living.  Post-mortem photography allowed people to have a likeness of their deceased family members; they used them to remember and mourn loved ones.; The roots of memorial photography are partly in the European tradition of painted miniatures.  Small portraits of the deceased were made into necklaces or pins.  Often hidden beneath clothing, these personal images allowed the wearer to grieve or to remember absent family or friends. With the technological innovation of photography in the 1830s, the bereaved were able to acquire an actual likeness of their mother, father, brother, sister, friend, etc. rather than an artist's rendering."
5,umich-wcl-F-612and,andersonm_final.xml,"Finding Aid for 
Mark A. Anderson Collection of Post-Mortem Photography",Philippine Islands,1,scopecontent,"; The first three subjects - post-mortem portraits, scenes, and funeral tableaux - all depict the recently deceased, and so fall into the narrowest definition of a post-mortem photograph.  Their distinction into three separate subjects is a partly arbitrary decision, made to break up what would otherwise be a large and unwieldy grouping of photos, but also to roughly shape the order of the collection (post-mortem portraits without décor tended to date earlier chronologically than broader, beautifying scenes).; Post-mortem portraits:; The post-mortem portrait photographs, comprising 203 items in the collection, depict the bodies of dead family members and friends.  These images show the deceased, sometimes posed with living family members, and for the most part do not include elements of a larger scene, such as floral arrangements, banners, or other décor.; These portraits include the earliest photographic images in the collection, including 27 cased daguerreotypes, ambrotypes, and tintypes.  Fifty-eight cabinet card photographs date from the late 1860s to around the turn of the century.  Among many notable cabinet cards are two images of Frances Radke, taken and retouched by R. C. Houser, showing her image before and after Houser's post-capture work (3.1 and 3.2).  Also of note is a framed crayon enlargement of infant Adelaide Banks by photographer/artist Edward Stuart Tray (26).; Post-mortem scenes:; The post-mortem scene photographs, 141 items, are similar to the portraits described above, except that they show the deceased as part of a larger environment, whether in a private home, a funeral home, or out-of-doors.  Most of these views are mounted photographic prints from the 1880s to the early decades of the 20th century, frequently centering on the corpse, lying in a casket or coffin, amidst an abundance of floral arrangements, banners or flags, family members or friends, and/or personal belongings.  Their caskets are often lined with white cloth.  ; Many of these images have unique qualities; several examples illustrate the variety of postmortem scenes in the Mark Anderson collection.  Six photographs by W. Jakubowski and Co. and Jos. Ziawinski, of Detroit, Michigan, include five wedding photographs (of the bride and groom, bridesmaids, and family members) and one post-mortem scene of the wife.  She appears to have died within a short time following the marriage; the funeral home scene image contains one of the wedding photographs and a banner marked ""Dearest Wife"" (18.5-18.10).  One mounted photograph depicts a dog, laid on linen, in a homemade casket (14:17).  The collection also contains examples of different persons on display in the same funeral home/parlor (e.g. 18.1-18.4).  A set of two cabinet card photos of a child in a buggy is accompanied by one of the buggy's metal lanterns (23.1-23.3).  ; Funeral tableaux:; The collection's 31 funeral tableau photographs show the deceased in an open casket or coffin, typically in front of a church or homestead, with a posed assembly of funeral attendees or mourners.  They often show a large group of family and friends, and so are frequently large format prints.  Group portraits of this sort were occasionally framed and displayed in the home.  Most of the examples in this collection are large prints (many of them mounted), with smaller examples, including a real photo postcard, two snapshots, and one cabinet card.  Of note are a tableaux on the steps of the Church of The Descent of The Holy Ghost in Detroit by Thomas Hoffman (27), and a photomontage image of a nun's funeral (28).; Funerals and funeral processions:; 	The 60 items depicting or pertaining to funeral gatherings show various aspects of the movement of the deceased from the home or funeral home to the cemetery and funeral and burial ceremonies.  This group is comprised of real photo postcards (22 items), snapshots (13 items), and a variety of other formats.  Examples include an albumin print depicting the Plymouth Church, decorated for Henry Ward Beecher's funeral in 1887, and snapshot and postcard photographs of a burial at sea.; Floral arrangements and displays:; 	Additional documentation of funeral decoration may be found in the collection's 162 still life portraits of floral arrangements and other decorations.  A portion of the floral display photographs include pre- or post-mortem photos of the deceased either incorporated into the display or added to the image after printing.  One particularly fine example is a large format photograph of a floral arrangement for the funeral of Joshua Turner Mulls; the display included a cabinet card photo of Mr. Mulls and a modified enlargement of the cabinet card.  Accompanying the floral arrangement photograph is the cabinet card depicted in the display, with artist's instructions for coloring the enlargement (22.1-22.2). ; Memorial cards and sentimental imagery:; 	The collection includes 97 memorial cards and ephemeral items bearing sentimental imagery.  Memorial cards were created as tributes, often displaying birth dates, death dates, and other information about the deceased.  Many of these cards include border designs and some bear photographs of the departed.  Black-fronted memorial cards gained popularity from 1880 to 1905.  Of many interesting examples, the collection includes two examples of memorial cards which haven't yet been personalized (4.306-4.307) and two reflecting World War I related deaths (4.316 and 4.317).  Materials with sentimental imagery include items such as a photograph of an illustration entitled ""Momma is in Heaven,"" a memorial book dedicated to Olive C. Partridge in 1897, and other items.; Note:  an advertisement for the Memorial Card Company of Philadelphia is located in the 'Funeral Industry' section of the collection (14.35).; Cemeteries and monuments:; 	Sixty photographs, printed items, and realia explicitly pertain to cemeteries, burial markers, or monuments.  Some of the cemeteries and monuments are identified, such as the Garfield Memorial at Lakeview Cemetery in Cleveland, Ohio (4.1-4.3).  The collection includes examples of cemetery-related realia, including an ovular, porcelain headstone photograph (pre-mortem) of the deceased.; Note:  cemeteries may be seen as background for many photographs throughout the collection.; The funeral industry:; The Mark Anderson Collection of Post-Mortem Photography holds a diverse selection of photographs, ephemera, and printed materials related to the business aspects of death, dying, and bereavement.  This group includes receipts (1896-1956); various types of advertising (an undertaker's advertising card, a church fan, a thermometer, and other items); and 118 coffin sales photographs (illustrating a massive selection of different casket models offered by the Boyertown Burial Casket Company of Pennsylvania).; Two photograph albums, that of Clarence E. Mapes' furniture store and funeral home (and that of the Algoe-Gundry Company funeral home, provide visual documentation of a rural and an urban funeral home (respectively) in Michigan in the first half of the 20th century:; The photo album and scrapbook of Clarence E. Mapes' furniture store and funeral home in Durand, Michigan, dating from ca. 1903-1930, contains interior and exterior photographs of the furniture and undertaker portions of the shop.  The album includes photographs of casket showroom display mechanisms; an example of a ""burglar proof"" metallic vault; a posed photo of the embalmer standing over a man on the embalming table; images of carriage and motorized hearses; business-related newspaper clippings; and various family and vacation photographs.  Several prints, dated August 1903, appear to depict the aftermath of the Wallace Brothers Circus train wreck on the Grand Trunk railroad at Durand.  Among these photographs are carriage hearses, a horse-drawn cart carrying ten or more oblong boxes (for transportation and perhaps burial of victims of the wreck), a man standing in an alleyway near three stacked boxes, and a large group of persons standing in a largely unearthed section of a cemetery.  The Mapes album is accompanied by a C. E. Mapes Furniture advertising fly-swatter.; The Algoe-Gundry Company album dates from ca. 1924 to 1960 and contains (almost exclusively) 8""x10"" photographs of this Flint, Michigan, funeral business.  The album includes images of the exterior and interior of Algoe-Gundry buildings, hearses, ambulances, and billboard advertisements.; Mourning attire:; In America, mourning attire tended to follow trends set in Europe.  The bereaved wore mourning clothing according to current fashion trends and societal expectations.  Mourning clothing styles, often dark-colored and somber, depended on how close the mourner was to the deceased and local societal expectations.  Seventeen portrait photographs show men and women wearing mourning attire without the deceased present.  This group includes cabinet cards, a 1/9 plate ambrotype of an adult woman, two tintypes, and one carte-de-visite.; Note:  persons wearing mourning attire may also be found scattered throughout the other sections of the Mark A. Anderson collection.  While most are concentrated in the funeral photographs, mourners are also present in postmortem portraits, postmortem scenes, and cemetery photos.; Unnatural death:; Forty-three photographs (mostly snapshots) depict ""unnatural deaths,"" deaths not caused by age or naturally occurring disease, such as suicides, accidents, murders, and war.  The larger portions of the snapshots are mid-20th century police photographs of crime or accident scenes.  ; Nine Indiana State Police photographs show a train-automobile accident; a group of eight unmarked photos depict the body of woman, apparently violently murdered, at the location of her death and in a morgue; fourteen are of a man struck down, beneath a train; two are of a rifle suicide; and the others are of varying accidents.  One World War I-era real photo postcard appears to show a man, shot dead in a foxhole.  A stereoscopic card, by photographer B. W. Kilburn, shows the burial of Filipino soldiers after the Battle of Malolos, Philippine Islands [ca. 1897].; Note:  The photograph album/scrapbook of the Clarence E. Mapes furniture and undertakers shop contains several photographs of what appear to be the aftermath of the Wallace Brothers Circus train wreck, Durand, Michigan 1903 (see above description in the 'Funeral Industry' section of this scope and content note)."
6,umich-wcl-F-612and,andersonm_final.xml,"Finding Aid for 
Mark A. Anderson Collection of Post-Mortem Photography",Types,1,scopecontent,"; The first three subjects - post-mortem portraits, scenes, and funeral tableaux - all depict the recently deceased, and so fall into the narrowest definition of a post-mortem photograph.  Their distinction into three separate subjects is a partly arbitrary decision, made to break up what would otherwise be a large and unwieldy grouping of photos, but also to roughly shape the order of the collection (post-mortem portraits without décor tended to date earlier chronologically than broader, beautifying scenes).; Post-mortem portraits:; The post-mortem portrait photographs, comprising 203 items in the collection, depict the bodies of dead family members and friends.  These images show the deceased, sometimes posed with living family members, and for the most part do not include elements of a larger scene, such as floral arrangements, banners, or other décor.; These portraits include the earliest photographic images in the collection, including 27 cased daguerreotypes, ambrotypes, and tintypes.  Fifty-eight cabinet card photographs date from the late 1860s to around the turn of the century.  Among many notable cabinet cards are two images of Frances Radke, taken and retouched by R. C. Houser, showing her image before and after Houser's post-capture work (3.1 and 3.2).  Also of note is a framed crayon enlargement of infant Adelaide Banks by photographer/artist Edward Stuart Tray (26).; Post-mortem scenes:; The post-mortem scene photographs, 141 items, are similar to the portraits described above, except that they show the deceased as part of a larger environment, whether in a private home, a funeral home, or out-of-doors.  Most of these views are mounted photographic prints from the 1880s to the early decades of the 20th century, frequently centering on the corpse, lying in a casket or coffin, amidst an abundance of floral arrangements, banners or flags, family members or friends, and/or personal belongings.  Their caskets are often lined with white cloth.  ; Many of these images have unique qualities; several examples illustrate the variety of postmortem scenes in the Mark Anderson collection.  Six photographs by W. Jakubowski and Co. and Jos. Ziawinski, of Detroit, Michigan, include five wedding photographs (of the bride and groom, bridesmaids, and family members) and one post-mortem scene of the wife.  She appears to have died within a short time following the marriage; the funeral home scene image contains one of the wedding photographs and a banner marked ""Dearest Wife"" (18.5-18.10).  One mounted photograph depicts a dog, laid on linen, in a homemade casket (14:17).  The collection also contains examples of different persons on display in the same funeral home/parlor (e.g. 18.1-18.4).  A set of two cabinet card photos of a child in a buggy is accompanied by one of the buggy's metal lanterns (23.1-23.3).  ; Funeral tableaux:; The collection's 31 funeral tableau photographs show the deceased in an open casket or coffin, typically in front of a church or homestead, with a posed assembly of funeral attendees or mourners.  They often show a large group of family and friends, and so are frequently large format prints.  Group portraits of this sort were occasionally framed and displayed in the home.  Most of the examples in this collection are large prints (many of them mounted), with smaller examples, including a real photo postcard, two snapshots, and one cabinet card.  Of note are a tableaux on the steps of the Church of The Descent of The Holy Ghost in Detroit by Thomas Hoffman (27), and a photomontage image of a nun's funeral (28).; Funerals and funeral processions:; 	The 60 items depicting or pertaining to funeral gatherings show various aspects of the movement of the deceased from the home or funeral home to the cemetery and funeral and burial ceremonies.  This group is comprised of real photo postcards (22 items), snapshots (13 items), and a variety of other formats.  Examples include an albumin print depicting the Plymouth Church, decorated for Henry Ward Beecher's funeral in 1887, and snapshot and postcard photographs of a burial at sea.; Floral arrangements and displays:; 	Additional documentation of funeral decoration may be found in the collection's 162 still life portraits of floral arrangements and other decorations.  A portion of the floral display photographs include pre- or post-mortem photos of the deceased either incorporated into the display or added to the image after printing.  One particularly fine example is a large format photograph of a floral arrangement for the funeral of Joshua Turner Mulls; the display included a cabinet card photo of Mr. Mulls and a modified enlargement of the cabinet card.  Accompanying the floral arrangement photograph is the cabinet card depicted in the display, with artist's instructions for coloring the enlargement (22.1-22.2). ; Memorial cards and sentimental imagery:; 	The collection includes 97 memorial cards and ephemeral items bearing sentimental imagery.  Memorial cards were created as tributes, often displaying birth dates, death dates, and other information about the deceased.  Many of these cards include border designs and some bear photographs of the departed.  Black-fronted memorial cards gained popularity from 1880 to 1905.  Of many interesting examples, the collection includes two examples of memorial cards which haven't yet been personalized (4.306-4.307) and two reflecting World War I related deaths (4.316 and 4.317).  Materials with sentimental imagery include items such as a photograph of an illustration entitled ""Momma is in Heaven,"" a memorial book dedicated to Olive C. Partridge in 1897, and other items.; Note:  an advertisement for the Memorial Card Company of Philadelphia is located in the 'Funeral Industry' section of the collection (14.35).; Cemeteries and monuments:; 	Sixty photographs, printed items, and realia explicitly pertain to cemeteries, burial markers, or monuments.  Some of the cemeteries and monuments are identified, such as the Garfield Memorial at Lakeview Cemetery in Cleveland, Ohio (4.1-4.3).  The collection includes examples of cemetery-related realia, including an ovular, porcelain headstone photograph (pre-mortem) of the deceased.; Note:  cemeteries may be seen as background for many photographs throughout the collection.; The funeral industry:; The Mark Anderson Collection of Post-Mortem Photography holds a diverse selection of photographs, ephemera, and printed materials related to the business aspects of death, dying, and bereavement.  This group includes receipts (1896-1956); various types of advertising (an undertaker's advertising card, a church fan, a thermometer, and other items); and 118 coffin sales photographs (illustrating a massive selection of different casket models offered by the Boyertown Burial Casket Company of Pennsylvania).; Two photograph albums, that of Clarence E. Mapes' furniture store and funeral home (and that of the Algoe-Gundry Company funeral home, provide visual documentation of a rural and an urban funeral home (respectively) in Michigan in the first half of the 20th century:; The photo album and scrapbook of Clarence E. Mapes' furniture store and funeral home in Durand, Michigan, dating from ca. 1903-1930, contains interior and exterior photographs of the furniture and undertaker portions of the shop.  The album includes photographs of casket showroom display mechanisms; an example of a ""burglar proof"" metallic vault; a posed photo of the embalmer standing over a man on the embalming table; images of carriage and motorized hearses; business-related newspaper clippings; and various family and vacation photographs.  Several prints, dated August 1903, appear to depict the aftermath of the Wallace Brothers Circus train wreck on the Grand Trunk railroad at Durand.  Among these photographs are carriage hearses, a horse-drawn cart carrying ten or more oblong boxes (for transportation and perhaps burial of victims of the wreck), a man standing in an alleyway near three stacked boxes, and a large group of persons standing in a largely unearthed section of a cemetery.  The Mapes album is accompanied by a C. E. Mapes Furniture advertising fly-swatter.; The Algoe-Gundry Company album dates from ca. 1924 to 1960 and contains (almost exclusively) 8""x10"" photographs of this Flint, Michigan, funeral business.  The album includes images of the exterior and interior of Algoe-Gundry buildings, hearses, ambulances, and billboard advertisements.; Mourning attire:; In America, mourning attire tended to follow trends set in Europe.  The bereaved wore mourning clothing according to current fashion trends and societal expectations.  Mourning clothing styles, often dark-colored and somber, depended on how close the mourner was to the deceased and local societal expectations.  Seventeen portrait photographs show men and women wearing mourning attire without the deceased present.  This group includes cabinet cards, a 1/9 plate ambrotype of an adult woman, two tintypes, and one carte-de-visite.; Note:  persons wearing mourning attire may also be found scattered throughout the other sections of the Mark A. Anderson collection.  While most are concentrated in the funeral photographs, mourners are also present in postmortem portraits, postmortem scenes, and cemetery photos.; Unnatural death:; Forty-three photographs (mostly snapshots) depict ""unnatural deaths,"" deaths not caused by age or naturally occurring disease, such as suicides, accidents, murders, and war.  The larger portions of the snapshots are mid-20th century police photographs of crime or accident scenes.  ; Nine Indiana State Police photographs show a train-automobile accident; a group of eight unmarked photos depict the body of woman, apparently violently murdered, at the location of her death and in a morgue; fourteen are of a man struck down, beneath a train; two are of a rifle suicide; and the others are of varying accidents.  One World War I-era real photo postcard appears to show a man, shot dead in a foxhole.  A stereoscopic card, by photographer B. W. Kilburn, shows the burial of Filipino soldiers after the Battle of Malolos, Philippine Islands [ca. 1897].; Note:  The photograph album/scrapbook of the Clarence E. Mapes furniture and undertakers shop contains several photographs of what appear to be the aftermath of the Wallace Brothers Circus train wreck, Durand, Michigan 1903 (see above description in the 'Funeral Industry' section of this scope and content note)."
7,umich-wcl-F-612and,andersonm_final.xml,"Finding Aid for 
Mark A. Anderson Collection of Post-Mortem Photography",Death,1,abstract,"The Mark A. Anderson collection contains 956 photographs, ephemeral items, documents, manuscripts, printed items, and realia pertaining to the visual history of death and bereavement between the 1840s and the 1970s.  Photographs make up the bulk of the collection."
8,umich-wcl-F-612and,andersonm_final.xml,"Finding Aid for 
Mark A. Anderson Collection of Post-Mortem Photography",Death,1,scopecontent,"The Mark A. Anderson collection contains 961 photographs, ephemeral items, documents, manuscripts, printed items, and realia pertaining to the visual history of death and bereavement between the 1840s and the 1970s.  Photographs make up the bulk of the collection.  Mr. Anderson assembled this collection from dealers, antique shops, and individuals.  His motivation stemmed from a desire to document and to provide historical perspective on various end-of-life practices which, in the 20th century, fell into taboo and disfavor.; The majority portion of the photographic items in the collection are neither dated, nor attributed, although approximate dates can often be determined by when particular photographic formats were in use (see timeline at www.graphicatlas.org.).  Consequently, the materials have been organized first to accommodate their sizes, formats, and preservation needs, and second to reflect major subject themes present, though scattered, throughout the entire collection.  These non-mutually exclusive subjects are as follows:; "
9,umich-wcl-F-612and,andersonm_final.xml,"Finding Aid for 
Mark A. Anderson Collection of Post-Mortem Photography",Death,1,scopecontent,Unnatural death
