,ead_id,source_filename,titleproper,Term,Matched_Times,Matched_From,Matched_Paragraph
0,umich-scl-ams0025,ams.0025_20221006_152051_UTC__ead,Maria C. Lanzar-Carpio Papers,Annex,1,bioghist,"Dr. Maria Lanzar-Carpio was a Political Science PhD from the University of Michigan. She was particularly interested in the Anti-Imperialist League and the United States' efforts to annex the Philippines. Her disseration, ""The Anti-Imperialist League"" was completed in 1928. She went on to teach political science at the University of the Philippines. She later married Victorio Carpio, an attorney. The papers she gathered in her dissertation research were given to her by Herbert Welsh, a fellow political reformer, whose papers are also in this library's collection."
1,umich-scl-ams0059,ams.0059_20221006_152030_UTC__ead,Luke Wright papers,Indigenous,1,scopecontent,"The documents sub-series include field reports from various civil government servants in areas outside of Manila. Clippings include an undated supplement from the Manila Times Newspaper. In the photographs sub-series a photograph of the three Philippines Commissioners Luke Wright, William Taft and Henry Ide is included along with two albums of photographs of various events and places in the Philippines. Album One includes interior and exterior views of Malacanan Palace, Wright's official residence in Manila. Album 2 is an assortment of 65 pictures of Philippine landscapes, architecture and indigenous peoples."
2,umich-scl-ams0066,ams.0066_20221006_151503_UTC__ead,"Lowell, Arthur J. papers",Philippine Islands,1,bioghist,"Corporal Lowell was stationed near Baliuag, Bulacan Province, Luzon (Philippine Islands) from approximately 1899 through [April] 1901. Lowell, a volunteer from Baker City, Oregon, met Iva Hutchinson through her brother, Will, who was also serving in the 35th Infantry. Iva Hutchinson, occupation unknown, lived in Union, Oregon, but also spent significant time in the San Francisco area."
3,umich-scl-ams0066,ams.0066_20221006_151503_UTC__ead,"Lowell, Arthur J. papers",Dead,1,scopecontent,"Corporal Arthur J. Lowell, Company ""D"", 35th Infantry, U.S. Army, wrote these ten letters to Iva Hutchinson between February 14, 1900 and January 10, 1901. Lowell writes of going into the mountains to ""clear out insurectos,"" the number of dead and captured, the use of water torture on Filipino prisoners, eating bats, his plan to translate into English the history of the Philippines that had been written on shells, the upcoming U.S. Presidential election, and a continuous thread concerning when he would be returning home. Also included are two letters from Will Hutchinson to his sister Iva Hutchinson. These are dated September 8, 1899 and May 27, 1900."
4,umich-scl-ams0067,ams.0067_20221006_151857_UTC__ead,John J. Pershing Papers,Moro,1,bioghist,"John Joseph ""Black Jack"" Pershing, GCB (Hon) (September 13, 1860 – July 15, 1948) was the only person to be promoted in his own lifetime to the rank of General of the Armies of the United States, the highest rank in the United States Army. A career Army officer, Pershing served in the Philippines as an adjutant general and engineer officer, collector of customs, and cavalry squadron commander, participating in actions against the Tausug (Moros), 1899-1903. He was later appointed governor of Moro Province and commander  of the Department of Mindanao, 1909-1913. Pershing was well-known for his command of the American Expeditionary Forces in France during World War I, 1917-1919. He began his Army service in the Spanish American War in 1898 as a First Lieutenant. In June 1901, he served as Commander of Camp Vicars in Lanao, Philippines, and was cited for bravery at Lake Lanao."
5,umich-scl-ams0067,ams.0067_20221006_151857_UTC__ead,John J. Pershing Papers,Moros,1,bioghist,"John Joseph ""Black Jack"" Pershing, GCB (Hon) (September 13, 1860 – July 15, 1948) was the only person to be promoted in his own lifetime to the rank of General of the Armies of the United States, the highest rank in the United States Army. A career Army officer, Pershing served in the Philippines as an adjutant general and engineer officer, collector of customs, and cavalry squadron commander, participating in actions against the Tausug (Moros), 1899-1903. He was later appointed governor of Moro Province and commander  of the Department of Mindanao, 1909-1913. Pershing was well-known for his command of the American Expeditionary Forces in France during World War I, 1917-1919. He began his Army service in the Spanish American War in 1898 as a First Lieutenant. In June 1901, he served as Commander of Camp Vicars in Lanao, Philippines, and was cited for bravery at Lake Lanao."
6,umich-scl-ams0047,ams0047_20221006_151800_UTC__ead,H. H. Bartlett Papers,Moro,1,abstract,"Harley Harris Bartlett was a University of Michigan botanist who conducted field research in Sumatra, Haiti, Taiwan, the Philippines, and across South America. This collection, housed at the SCRC, contains material related to the Southern Philippines in the early 20th century. It includes a typescript account of Aguinaldo's arrest by U.S. troops (in Spanish), translations of articles from the Voz de Mindanao, American reports on Moro Province (now the Department of Mindanao and Sulu), a transcript copy of the sentence passed by an American court in the Philippines in United States vs. Panglima Indanan, and American military reports."
7,umich-scl-ams0047,ams0047_20221006_151800_UTC__ead,H. H. Bartlett Papers,Moro,1,scopecontent,"The collection is comprised of 20 folders of print and manuscript material related to the Southern Philippines in the early twentieth century, including the Philippine-American War and the Moro Rebellion. It  contains very little related to Bartlett's work in botany (for more on Bartlett's career, see the see the Harley Harris Bartlett Papers: 1909-1960 at the University of Michigan Bentley Historical Library)."
8,umich-scl-ams0047,ams0047_20221006_151800_UTC__ead,H. H. Bartlett Papers,Moro Rebellion,1,scopecontent,"The collection is comprised of 20 folders of print and manuscript material related to the Southern Philippines in the early twentieth century, including the Philippine-American War and the Moro Rebellion. It  contains very little related to Bartlett's work in botany (for more on Bartlett's career, see the see the Harley Harris Bartlett Papers: 1909-1960 at the University of Michigan Bentley Historical Library)."
9,umich-scl-ams0060,ams0060_20221006_152157_UTC__ead,Tiffany Bernard Williams Papers,Native,1,abstract,"The collection is organized in two series: Papers and Photographs. The Papers series consists of Williams's reminiscences of his experiences as a military officer in the Philippine Constabulary stationed in the mountain district of North Central Luzon, particularly his essay Spear and Bolo Interlude (68 [i.e., 72] p., typescript with holograph corrections); of his employment by the Standard-Vacuum Oil Company of New York in the South China Division, including an essay and a report describing the Japanese invasion of Hong Kong in 1941 and his subsequent six-month imprisonment at the internment camp on Stanley Peninsula; and of a childhood friendship with a black man, accused, tried, convicted, and hung for the murder of a white policeman in Booneville, Missouri. The Papers also include documents (diploma, commission papers, passport, etc.), military memorabilia, newspaper clippings, and a large collection of photos, chiefly depicting military camps and native inhabitants of Luzon. The second half of the collection is comprised of Williams's photographs, all have been digitized with links available in this finding aid."
10,umich-scl-ams0060,ams0060_20221006_152157_UTC__ead,Tiffany Bernard Williams Papers,Native,1,scopecontent,"The collection consists of Williams's reminiscences of his experiences as a military officer in the Philippine Constabulary stationed in the mountain district of North Central Luzon, particularly his essay Spear and bolo interlude (68 [i.e., 72] p., typescript with holograph corrections); of his employment by the Standard-Vacuum Oil Company of New York in the South China Division, including an essay and a report describing the Japanese invasion of Hong Kong in 1941 and his subsequent six-month imprisonment at the internment camp on Stanley Peninsula; and of a childhood friendship with a black man, accused, tried, convicted, and hung for the murder of a white policeman in Booneville, Missouri. The Papers also include documents (diploma, commission papers, passport, etc.), military memorabilia, newspaper clippings, and a large collection of photos, chiefly depicting military camps and native inhabitants of Luzon. The second half of the collection is comprised of Williams's photographs, almost entirely of his time in the Philippines. Subjects are most often people, mostly posing for the photograph; some more candid photographs; some are of landscapes and scenery. All have been digitized with links available in this finding aid."
11,umich-scl-hayden,hayden_20221006_152224_UTC__ead,"Finding Aid for the Tom Hayden Papers, 1960-2013 ",Enemy,2,bioghist,"Thomas Emmett Hayden (Tom Hayden) was born on December 11, 1939 in Detroit, Michigan. He graduated from Dondero High School in 1956 and went onto attend the University of Michigan, where he served as the editor of the Michigan Daily. While a student at the University of Michigan, Hayden became one of the founders of the leftist student organization, Students for a Democratic Society (SDS), playing an active role in drafting the group's manifesto called the Port Huron Statement, which sought to create a ""radically new democratic political movement"" in the United States that rejected hierarchy and bureaucracy. He served as President of SDS from 1962-1963. In 1968, Hayden along with seven other demonstrators, referred to as the ""Chicago Eight"" had integral parts in orchestrating protests outside the Democratic National Convention in Chicago, Illinois and were indicted on federal charges of conspiracy and incitement to riot that were later dropped on appeal. Hayden is also known for making several trips to North Vietnam and Cambodia during the Vietnam War, especially the 1972 trip he made with his future wife, Jane Fonda, whom he married the following year. The couple's son Troy was born on July 7, 1973. Haden and Fonda were instrumental in the production of the documentary, Introduction to the Enemy, which chronicled their travels through North and South Vietnam in the spring of 1974. During this period, Hayden also spearheaded the Indochina Peace Campaign that mobilized dissent against the Vietnam War and demanded unconditional amnesty for draft dodgers. Fonda turned the moniker into the name of her film company that produced movies like F.T.A. and Introduction to the Enemy.;  Hayden entered the political arena in 1976 when he ran for the primary to be a U.S. Senator from California. Despite conducting a spirited campaign, Hayden came in second. He and Fonda then initiated the Campaign for Economic Democracy (CED), which promoted solar energy, environmental protection, and renter rights' policies as well as candidates for local offices. Hayden represented the 44th district in the California State Assembly from 1982 to 1990. He won a seat in the California State Senate in 1992. Though he lost in the Democratic primary for the California gubernatorial race in 1994, Hayden was able to keep his seat in the Senate in the 1996 election. In 1997, he decided to run for mayor of Los Angeles, which he ultimately lost. Hayden thought about entering the race in 2000 to represent the 42nd district in the California State Assembly but reconsidered to campaign to be part of the Los Angeles City Council,which was a battle he ended up losing. He did, however, become the state's first energy official. Throughout his political career, Hayden has strove to make an impact. He has been a champion of many issues from disaster assistance, to safe driving, to Holocaust reparations, to tobacco regulation, to HIV/AIDS programs. Hayden was on the forefront of proposing educational and environmental initiatives, which were two main focuses of his as a legislator. He also contended with matters that emerged while in office like the Metropolitan Transportation Authority strikes that occurred in the 1990s. While Hayden was primarily concerned with problems facing the Californian population, he also showed an interest in global events, particularly in the Israel, Ireland, and El Salvador conflicts.;  In addition to his roles as an activist and politician, Hayden has also written profusely. Some of his books include: Vietnam: The Struggle for Peace, 1972-1973 (1973), The American Future: New Visions beyond Old Frontiers (1980) , Reunion: A Memoir (1988), The Lost Gospel of Earth: A Call for Renewing Nature, Spirit and Politics (1996), Irish Hunger (1997), and Irish on the Inside: A Search of the Soul of Irish America (2001), and Street Wars: Gangs and the Future of Violence (2004). He has also written numerous articles about a host of topics that range from baseball to the Iraq War.;  Another capacity in which Hayen has served has been as an instructor. He has taught numerous courses on social movements at Pitzer College, Scripps College, Occidental College, Harvard University's Institute for Politics, and University of California Los Angeles.;  In recognition for his contributions to society at large, Hayden has been awarded numerous honors such as the Southern Christian Leadership Conference and Martin Luther King Legacy Association President's Award, Irish American Unity Conference Sean MacBride Award in 1997, and The State Senate Peace Keepers Award in 1998."
12,umich-scl-hayden,hayden_20221006_152224_UTC__ead,"Finding Aid for the Tom Hayden Papers, 1960-2013 ",Race,2,bioghist,"Thomas Emmett Hayden (Tom Hayden) was born on December 11, 1939 in Detroit, Michigan. He graduated from Dondero High School in 1956 and went onto attend the University of Michigan, where he served as the editor of the Michigan Daily. While a student at the University of Michigan, Hayden became one of the founders of the leftist student organization, Students for a Democratic Society (SDS), playing an active role in drafting the group's manifesto called the Port Huron Statement, which sought to create a ""radically new democratic political movement"" in the United States that rejected hierarchy and bureaucracy. He served as President of SDS from 1962-1963. In 1968, Hayden along with seven other demonstrators, referred to as the ""Chicago Eight"" had integral parts in orchestrating protests outside the Democratic National Convention in Chicago, Illinois and were indicted on federal charges of conspiracy and incitement to riot that were later dropped on appeal. Hayden is also known for making several trips to North Vietnam and Cambodia during the Vietnam War, especially the 1972 trip he made with his future wife, Jane Fonda, whom he married the following year. The couple's son Troy was born on July 7, 1973. Haden and Fonda were instrumental in the production of the documentary, Introduction to the Enemy, which chronicled their travels through North and South Vietnam in the spring of 1974. During this period, Hayden also spearheaded the Indochina Peace Campaign that mobilized dissent against the Vietnam War and demanded unconditional amnesty for draft dodgers. Fonda turned the moniker into the name of her film company that produced movies like F.T.A. and Introduction to the Enemy.;  Hayden entered the political arena in 1976 when he ran for the primary to be a U.S. Senator from California. Despite conducting a spirited campaign, Hayden came in second. He and Fonda then initiated the Campaign for Economic Democracy (CED), which promoted solar energy, environmental protection, and renter rights' policies as well as candidates for local offices. Hayden represented the 44th district in the California State Assembly from 1982 to 1990. He won a seat in the California State Senate in 1992. Though he lost in the Democratic primary for the California gubernatorial race in 1994, Hayden was able to keep his seat in the Senate in the 1996 election. In 1997, he decided to run for mayor of Los Angeles, which he ultimately lost. Hayden thought about entering the race in 2000 to represent the 42nd district in the California State Assembly but reconsidered to campaign to be part of the Los Angeles City Council,which was a battle he ended up losing. He did, however, become the state's first energy official. Throughout his political career, Hayden has strove to make an impact. He has been a champion of many issues from disaster assistance, to safe driving, to Holocaust reparations, to tobacco regulation, to HIV/AIDS programs. Hayden was on the forefront of proposing educational and environmental initiatives, which were two main focuses of his as a legislator. He also contended with matters that emerged while in office like the Metropolitan Transportation Authority strikes that occurred in the 1990s. While Hayden was primarily concerned with problems facing the Californian population, he also showed an interest in global events, particularly in the Israel, Ireland, and El Salvador conflicts.;  In addition to his roles as an activist and politician, Hayden has also written profusely. Some of his books include: Vietnam: The Struggle for Peace, 1972-1973 (1973), The American Future: New Visions beyond Old Frontiers (1980) , Reunion: A Memoir (1988), The Lost Gospel of Earth: A Call for Renewing Nature, Spirit and Politics (1996), Irish Hunger (1997), and Irish on the Inside: A Search of the Soul of Irish America (2001), and Street Wars: Gangs and the Future of Violence (2004). He has also written numerous articles about a host of topics that range from baseball to the Iraq War.;  Another capacity in which Hayen has served has been as an instructor. He has taught numerous courses on social movements at Pitzer College, Scripps College, Occidental College, Harvard University's Institute for Politics, and University of California Los Angeles.;  In recognition for his contributions to society at large, Hayden has been awarded numerous honors such as the Southern Christian Leadership Conference and Martin Luther King Legacy Association President's Award, Irish American Unity Conference Sean MacBride Award in 1997, and The State Senate Peace Keepers Award in 1998."
