,ead_id,Term,Matched_Times,Matched_From,Matched_Paragraph
0,umich-bhl-0375,Civilization,2,bioghist,"Although anthropological specimens had been part of the University Museums' collections since the mid-1800s, it was not until much later that a discipline-specific museum was created for their research and preservation. Prior to the Museum of Anthropology's establishment in 1922, the earliest archaeological acquisitions came to the University Museum from the Wilkes Expedition to the Pacific from 1838 to 1842. Other significant collections were acquired by Joseph Beal Steere during his many trips to the Amazon, the Andes, the south Pacific and Southeast Asia in the 1870s through the 1890s. His expeditions to the Philippines began a long and continuing tradition of research in that area. Steere was also in charge of the university's natural history collections from 1876 to 1894.,  In 1922, Dean C. Worcester, one-time curator of the zoological museum at the university, returned to Ann Arbor from the Philippines to obtain support for an archaeological expedition to investigate Philippine cave sites with Chinese porcelains. Professors Francis Kelsey and Alexander G. Ruthven lent their support and requested that Carl Eugen Guthe lead the expedition with funds contributed anonymously by Horace H. Rackham. Guthe agreed to lead the party, but only if a separate Museum of Anthropology were established to house the material collected.,  Guthe's request was granted; in 1922 the University Museums were reorganized and the Museum of Anthropology was formally recognized. Carl Guthe was made the Associate Director of Anthropology in the University Museum. The collection of porcelains Guthe obtained during the three years of the Philippines expedition became the museum's most valuable single collection. Wilbert Hinsdale, formerly dean of the School of Homeopathy, was made custodian in charge of the Collections in Michigan Archaeology. Guthe's collections were housed in the basement of Angell Hall from 1925 to 1927, while Hinsdale's were located in the Museum Building.,  In 1928, the Museum of Anthropology moved into the fourth floor of the just completed University Museums Building. The museum consisted of five rooms for collections, seven rooms for offices, a library, and an office. In 1929, Guthe was promoted to director of the museum. One of Guthe's many acts as director was to offer a doctoral fellowship in Aboriginal North American Ceramics to James B. Griffin. Griffin began the fellowship in 1933, completed his degree in 1936, then joined the museum staff. In late 1943 Guthe resigned as director of the museum and recommended that Griffin be appointed as his successor. Administrative conflicts stalled the appointment for several years, but Griffin was finally approved by the Regents as the museum's director in 1946. He held this position until his retirement in 1975.,  Upon its establishment, the museum had been arranged into five collection-oriented divisions (also referred to as ranges): the Division of the Great Lakes, the Division of the Orient, the Division of Archaeology, the Division of Ethnology, and the Division of Physical Anthropology. The Division of the Great Lakes dealt with the anthropological resources of the state of Michigan and the areas of other states and Canada that border on the Great Lakes. After Hinsdale died in 1944, Emerson F. Greenman took charge of the Great Lakes Division until 1966.,  The Division of the Orient was devoted to collections from Asia and the Far East. Benjamin March was the division's first curator, followed by Kamer Aga-Oglu. The Division of Archaeology was established for the study of archaeological collections around the world, with particular focus on North America. The Ceramic Repository of the Eastern United States, a central sherd repository for prehistoric ceramic materials from the region east of the Rocky Mountains and north of the Gulf of Mexico, was founded within this division in 1927. James Griffin served as curator of the division until he became director, and was succeeded by Albert Spaulding.,  The Division of Ethnology was established to house ethnological specimens from around the world, with particular focus on North America. Its first curator was Melvin Gilmore, followed by Volney Jones. The Ethnobotanical Laboratory, a center for the identification and interpretation of plant materials utilized by Native Americans, was established within this division in 1938. The Division of Physical Anthropology was originally not provided with a curator and was essentially inactive until 1966, when C. Loring Brace was appointed as curator. From that point on, the division focused primarily on prehistoric skeletal collections from North America.,  The Museum of Anthropology achieved substantial growth during Griffin's long tenure as director. The staff grew from four professional curators to nine, along with additional research associates and assistants. The museum partnered with the Department of Physics in the administration of the Radiocarbon Laboratory from 1949 to 1970; the lab was the second of its kind in the United States. Field programs were greatly expanded, with significant work done in Michigan, the Mississippi Valley, the Southwest, Western and Eastern Europe, and Israel. The museum also took an active role in the university's Department of Anthropology; the museum served as a training ground for most graduate students in archaeology and all curators held academic year appointments in the department, teaching courses and advising numerous doctoral students. Griffin served as chair of the department from 1972 to 1975.,  After Griffin's retirement, Richard I. Ford, Curator of Ethnology, was appointed as director, serving until 1981. From that period to the present, the museum's directorship has rotated among the curators of the museum, who generally serve three- or five-year terms., In February 2014, the Museum was renamed the Museum of Anthropological Archaeology., The geographic focus of the collections has expanded, with additional curatorial positions provided for materials from Europe, Africa and Mesopotamia. The current ranges include Great Lakes Archaeology, North American Archaeology, Asian Archaeology, Ethnology, Physical Anthropology, New World High Civilizations and Old World High Civilizations. The museum currently has twelve curators, in addition to other professional and support staff.,  Today, the Museum of Anthropological Archaeology is one of the major research facilities in the United States for the collection and study of archaeological and ethnological materials.,  (A published history of the museum may be found in The University of Michigan, An Encyclopedic Survey. In addition to the historical materials found in this record group, information on the history and activities of the Museum of Anthropological Archaeology may be found in other record groups held by the Bentley Historical Library, most notably the James B. Griffin Papers.)"
1,umich-bhl-0375,Native,1,bioghist,"Although anthropological specimens had been part of the University Museums' collections since the mid-1800s, it was not until much later that a discipline-specific museum was created for their research and preservation. Prior to the Museum of Anthropology's establishment in 1922, the earliest archaeological acquisitions came to the University Museum from the Wilkes Expedition to the Pacific from 1838 to 1842. Other significant collections were acquired by Joseph Beal Steere during his many trips to the Amazon, the Andes, the south Pacific and Southeast Asia in the 1870s through the 1890s. His expeditions to the Philippines began a long and continuing tradition of research in that area. Steere was also in charge of the university's natural history collections from 1876 to 1894.,  In 1922, Dean C. Worcester, one-time curator of the zoological museum at the university, returned to Ann Arbor from the Philippines to obtain support for an archaeological expedition to investigate Philippine cave sites with Chinese porcelains. Professors Francis Kelsey and Alexander G. Ruthven lent their support and requested that Carl Eugen Guthe lead the expedition with funds contributed anonymously by Horace H. Rackham. Guthe agreed to lead the party, but only if a separate Museum of Anthropology were established to house the material collected.,  Guthe's request was granted; in 1922 the University Museums were reorganized and the Museum of Anthropology was formally recognized. Carl Guthe was made the Associate Director of Anthropology in the University Museum. The collection of porcelains Guthe obtained during the three years of the Philippines expedition became the museum's most valuable single collection. Wilbert Hinsdale, formerly dean of the School of Homeopathy, was made custodian in charge of the Collections in Michigan Archaeology. Guthe's collections were housed in the basement of Angell Hall from 1925 to 1927, while Hinsdale's were located in the Museum Building.,  In 1928, the Museum of Anthropology moved into the fourth floor of the just completed University Museums Building. The museum consisted of five rooms for collections, seven rooms for offices, a library, and an office. In 1929, Guthe was promoted to director of the museum. One of Guthe's many acts as director was to offer a doctoral fellowship in Aboriginal North American Ceramics to James B. Griffin. Griffin began the fellowship in 1933, completed his degree in 1936, then joined the museum staff. In late 1943 Guthe resigned as director of the museum and recommended that Griffin be appointed as his successor. Administrative conflicts stalled the appointment for several years, but Griffin was finally approved by the Regents as the museum's director in 1946. He held this position until his retirement in 1975.,  Upon its establishment, the museum had been arranged into five collection-oriented divisions (also referred to as ranges): the Division of the Great Lakes, the Division of the Orient, the Division of Archaeology, the Division of Ethnology, and the Division of Physical Anthropology. The Division of the Great Lakes dealt with the anthropological resources of the state of Michigan and the areas of other states and Canada that border on the Great Lakes. After Hinsdale died in 1944, Emerson F. Greenman took charge of the Great Lakes Division until 1966.,  The Division of the Orient was devoted to collections from Asia and the Far East. Benjamin March was the division's first curator, followed by Kamer Aga-Oglu. The Division of Archaeology was established for the study of archaeological collections around the world, with particular focus on North America. The Ceramic Repository of the Eastern United States, a central sherd repository for prehistoric ceramic materials from the region east of the Rocky Mountains and north of the Gulf of Mexico, was founded within this division in 1927. James Griffin served as curator of the division until he became director, and was succeeded by Albert Spaulding.,  The Division of Ethnology was established to house ethnological specimens from around the world, with particular focus on North America. Its first curator was Melvin Gilmore, followed by Volney Jones. The Ethnobotanical Laboratory, a center for the identification and interpretation of plant materials utilized by Native Americans, was established within this division in 1938. The Division of Physical Anthropology was originally not provided with a curator and was essentially inactive until 1966, when C. Loring Brace was appointed as curator. From that point on, the division focused primarily on prehistoric skeletal collections from North America.,  The Museum of Anthropology achieved substantial growth during Griffin's long tenure as director. The staff grew from four professional curators to nine, along with additional research associates and assistants. The museum partnered with the Department of Physics in the administration of the Radiocarbon Laboratory from 1949 to 1970; the lab was the second of its kind in the United States. Field programs were greatly expanded, with significant work done in Michigan, the Mississippi Valley, the Southwest, Western and Eastern Europe, and Israel. The museum also took an active role in the university's Department of Anthropology; the museum served as a training ground for most graduate students in archaeology and all curators held academic year appointments in the department, teaching courses and advising numerous doctoral students. Griffin served as chair of the department from 1972 to 1975.,  After Griffin's retirement, Richard I. Ford, Curator of Ethnology, was appointed as director, serving until 1981. From that period to the present, the museum's directorship has rotated among the curators of the museum, who generally serve three- or five-year terms., In February 2014, the Museum was renamed the Museum of Anthropological Archaeology., The geographic focus of the collections has expanded, with additional curatorial positions provided for materials from Europe, Africa and Mesopotamia. The current ranges include Great Lakes Archaeology, North American Archaeology, Asian Archaeology, Ethnology, Physical Anthropology, New World High Civilizations and Old World High Civilizations. The museum currently has twelve curators, in addition to other professional and support staff.,  Today, the Museum of Anthropological Archaeology is one of the major research facilities in the United States for the collection and study of archaeological and ethnological materials.,  (A published history of the museum may be found in The University of Michigan, An Encyclopedic Survey. In addition to the historical materials found in this record group, information on the history and activities of the Museum of Anthropological Archaeology may be found in other record groups held by the Bentley Historical Library, most notably the James B. Griffin Papers.)"
2,umich-bhl-2011132,Igorot,9,scopecontent,"Photo albums and photographs dating from Richard Schneidewind's military service in Hawaii and the Philippines during the Philippine-American War. Images depict locations, street scenes, military camps and hospitals in the Philippines and Hawaii, and group photographs of military units. Also photographs and stereographs depicting Schneidewind's ""Igorot villages"": group photographs and individual portraits, scenes, dances, etc.; newspaper clippings documenting the tours, programs, advertising materials, and business contracts signed by Schneidewind and the Igorots.,  Paper records include admission tickets and passes to Igorot Village exhibits at state fairs and expositions; advertising flyers and brochures for the Igorot Village exhibits; Schneidewind's contracts with Igorots Felingao and Ugaog [Ugaag?] (1905); newspaper clippings and articles reporting about Igorot Village exhibits in various locations; photographs and stereographs, with mostly staged images, of Igorot Village exhibits, as well as miscellaneous photographs, including Schneidewind's portraits; among miscellaneous items are Schneidewind's business card and 2 letters (one in French).,  The Photo album contains mostly photographs of Hospital Corps officers, personnel, nurses and patients, as well as military ships, hospitals, historic buildings and street scenes in Manila, Makati, Caloocan, Corregidor Island, Honolulu, and other locations. Also includes undated photographs of scenes from the Igorot Village exhibits.,  The two Scrapbooks contain newspaper articles and clippings, as well as some advertising materials. The larger scrapbook mostly contains U.S. materials, 1907-1909 and undated, and the European tour materials (some in French), dated 1913-1914. The smaller scrapbook in original binding contains materials from the European tour, 1911-1912.,  The two Oversize folders contains loose materials found in the European tour scrapbook: an undated photograph of Igorot Village exhibit; undated group photograph containing portrait of Schneidewind's son Richard (his last name spelled Schneidowin); and 3 newspaper articles (1910, 1912 and undated)"
3,umich-bhl-2011132,Igorot,1,subjects,"Agricultural exhibitions., Amusement parks., Boats., Caricatures and cartoons., Circuses & shows., Convalescent hospitals -- Philippines., Ethnic stereotypes., Ethnographic photographs., Executions -- Philippines., Exhibitions., Fairs., Human curiosities., Igorot (Philippine people), Leprosy -- Philippines., Midways., Military hospitals, American -- Philippines., Military hospitals -- Philippines., Ships., Sideshows., Soldiers."
4,umich-bhl-2011132,Igorot,7,bioghist,"Richard Schneidewind was a native and resident of Detroit, Mich. and veteran of the Spanish-American War (1898). Schneidewind joined the U.S. Army in 1898 as a nurse in the Field Hospital Corps. In the Philippines he was made the head nurse and treated men ill with typhoid and spinal meningitis. After contracting typhoid and not completely recovered, he was sent to Corregidor Island where his unit was building a convalescent hospital. Still a patient, Schneidewind was given light duties. He remained on the sick list until his discharge from the service in July 1899.,  After his discharge Schneidewind stayed in the Philippines and married Gabina Dionicio R. y Gabriel in 1900. Gabina died in 1901 giving birth to their son Richard, who later became Professor of Metallurgical Engineering at the University of Michigan.,  After Gabina's death Schneidewind returned to the U.S. In 1904 he worked at the St. Louis World's Fair where, among similar exhibits, he saw the ""Igorot Village"" exhibit that included 123 Igorots brought by the Dr. Truman K. Hunt's Igorot Exhibit Company.,  By 1905 Schneidewind with his partner Edmund A. Felder formed the Filipino Exhibition Company. Schneidewind met Felder in 1904 when Felder was the Executive Officer of the Philippine Exposition Board at the St. Louis World's Fair. In 1905 they arranged a group of Igorot men and women from the Luzon mountain interior to be brought for a tour.,  In 1906 Schneidewind married Selma Echholz. In 1907 he brought to the U.S. 40 Igorot people; 40 people in 1908; and in 1911 his company brought 55 people on a tour of Europe (France, England, and Belgium). Some people went on more than one journey.,  Toward the end of the 1911 European tour the Schneidewind's company experienced serious financial problems. In winter 1913 American newspapers reported about starving Igorots wandering the streets of Ghent, Belgium. The U.S. government intervened, and in December 1913 the newspapers reported that all of the Igorots were sent back to the Philippines. In 1914 U.S. government put an end to exhibitions of Filipinos.,  In 1915 Schneidewind managed exhibits of people from Samoa at fairs in California. In the 1920s Schneidewind settled in Detroit. He died in January 1949."
5,umich-bhl-2011132,Igorot,2,abstract,"Richard Schneidewind's collection of photographs, stereographs, newspaper articles and advertising materials about the Igorot peoples of the Philippines, and ""Igorot Villages"" traveling exhibits in the U.S., Canada and Europe that his company, the Filipino Exhibition Company, organized and managed between 1905 and 1913; also photographs of locations in the Philippines and Hawaii taken ca. 1899."
6,umich-bhl-2011165,Moro,1,scopecontent,"As vice governor of the Philippine Islands during the 1930s, and later as advisor on Philippine affairs to General Douglas MacArthur during World War II, Joseph R. Hayden was recipient of much substantive documentation relating to the American phase of Philippine Island history. Hayden was an astute and discerning scholar of Philippine life and history, and as such used the opportunity of his frequent trips to the Far East to collect materials (official and personal) that he knew would be of value in his teaching and research, and that he also hoped would prove useful to scholars following after him. The Philippine Collection is the heart of the collection comprising more than 75% of the Hayden papers. These files are testimony to Hayden's foresight in drawing together official documents (because of the positions he held) and other records (sent to him because of his known interest in the Philippines). These collected materials include official reports, minutes of meetings attended, memoranda with government officials, photographs, clippings, and published materials.,  Over the years, researchers, unable to examine the originals, have requested microfilm copies of portions of the Hayden papers. This finding aid lists those files that have been microfilmed and which are available for inter-library loan. The bulk of these files date from the 1920s and relate in great part to the Philippine politics and to the affairs of the provinces. Many of the files relate to the Moros and to Mindanao and Sulu. The finding aid to the original collection is also available through the library's homepage."
7,umich-bhl-2011165,Moros,1,scopecontent,"As vice governor of the Philippine Islands during the 1930s, and later as advisor on Philippine affairs to General Douglas MacArthur during World War II, Joseph R. Hayden was recipient of much substantive documentation relating to the American phase of Philippine Island history. Hayden was an astute and discerning scholar of Philippine life and history, and as such used the opportunity of his frequent trips to the Far East to collect materials (official and personal) that he knew would be of value in his teaching and research, and that he also hoped would prove useful to scholars following after him. The Philippine Collection is the heart of the collection comprising more than 75% of the Hayden papers. These files are testimony to Hayden's foresight in drawing together official documents (because of the positions he held) and other records (sent to him because of his known interest in the Philippines). These collected materials include official reports, minutes of meetings attended, memoranda with government officials, photographs, clippings, and published materials.,  Over the years, researchers, unable to examine the originals, have requested microfilm copies of portions of the Hayden papers. This finding aid lists those files that have been microfilmed and which are available for inter-library loan. The bulk of these files date from the 1920s and relate in great part to the Philippine politics and to the affairs of the provinces. Many of the files relate to the Moros and to Mindanao and Sulu. The finding aid to the original collection is also available through the library's homepage."
8,umich-bhl-2012140,Native,2,bioghist,"The University of Michigan Department of Afroamerican and African Studies (DAAS), was founded in 1970 as Center for Afroamerican and African Studies (CAAS) to be a home for interdisciplinary research, teaching and community outreach. In 2011, CAAS became the Department of Afroamerican and African Studies (DAAS) in the College of Literature Science and the Arts (LSA).,  CAAS's beginnings are rooted in the era of the modern civil rights and black consciousness movements of the 1960s. Beginning in 1968, following the assassination of Martin Luther King, black students commandeered several campus buildings and demanded talks with new University President Robben Fleming. In addition to discussing the overall atmosphere on campus for black students, the activists voiced the first public call for a program in Black studies. A committee was charged by Rackham Dean Stephen H. Spurr to explore the possibility of creating an African-American studies program. Interest in such a program increased in 1970, when participants in the first Black Action Movement (BAM) on campus called for the establishment of a ""Center for Afro-American Studies"" to be based on a proposal written by J. Frank Yates, Assistant to the Dean of LSA.,  When the Regents established the center in the summer of 1970, its scope was broadened to include African studies, on the expectation that, ""the study of Africa, Afroamerica, and the Caribbean within a single intellectual framework was not only defensible but represented the future direction of Black Studies."" This ""diasporic perspective"" has defined the framework for study and teaching conducted by the center's faculty. The center was to offer an interdisciplinary curriculum taught by an international faculty and had a first-year enrollment of 1,026 students. Over the next two years the center acquired a ""Writer in Residence"" program and a visiting faculty program. CAAS faculty and students envisioned a commitment to both the University and the local and regional Black communities and over the next few years, center participants worked to find the right balance between these activities.,  The Ford Foundation granted CAAS funds for the project ""From Margin to Center: Towards a New Black Scholarship,"" beginning in 1988 and additional funds for its pilot project ""Strengthening African Studies."" The program provided: a small seed grant program to foster collaborative research on Africa; helped fund a Summer Institute on Social Science Methods and African Studies; and an Africa Theme Semester.,  During its forty-year span CAAS has played host to a number of notable events and programs, including an ongoing colloquium series, the Dubois-Mandela-Rodney Fellowship Program (since 1988), and two conferences in memory of the noted poet and essayist Robert Hayden in 1980 and 1990. The center has also sponsored study abroad programs in Barbados, Jamaica, Ghana and South Africa. Since 2000, CAAS has also been the home of the South African Initiatives Office (SAIO).,  Originally, the Center sponsored an undergraduate concentration. An undergraduate minor was added in 2000 and a graduate certificate program began in 2005. First housed on Monroe Street, CAAS moved to West Hall and then to its current home in Haven Hall. Facilities have included a professionally staffed library and archives and an art gallery.,  The Lemuel A. Johnson Library at CAAS supported the curriculum by collecting and organizing archival materials related to black faculty, staff and student organizations, student activism, and national and international events relevant social justice. These files, now transferred to the Bentley, were publicly available for research and consultation. They included records relating to the BAM movements as well as several other university organizations, whose records were transferred together with the CAAS organizational archives. Brief profiles of those documented organizations follow.,  The Black Action Movement (BAM) was formed in 1970 from a coalition of the Black Student Union, the Black Law Students Association, the Association of Black Social Work Students, and groups of black students from the Medical School and the Psychology Department. They presented a list of demands to then University President, Robben Flemming. One of those demands, was, in fact the establishment of CAAS. There were two subsequent BAM episodes, BAM II (1974-5) and BAM III in 1985-7.,  The United Coalition Against Racism (UCAR) formed in the Spring of 1987 in response to a series of racist incidents on campus, including racist jokes aired on a campus radio station and a racist flyer pushed under the door of black women studying in a dormitory lounge. UCAR engaged in action aimed at U-M administrators, putting forth demands for institutional changes and convening mass protests in response to racist incidents. In addition it presented teach-ins and speakers. Originally funded by the Office of Minority Affairs (created in response to an original UCAR demand) for specific projects, other funds were provided by the organization's own fundraising and the Michigan Student Assembly.,  UCAR also founded the Ella Baker-Nelson Mandela Center for Anti-Racist Education, or the Baker-Mandela Center (BMC) during the summer of 1988. Its purpose was to collect and generate literature, provide a speakers bureau, and to serve as a gathering place for anti-racist activists. The overall objectives were to promote anti-racist consciousness and to promote anti-racist student leaders, particularly within Third World communities; to heighten the level of discussion and research on various aspects of race, class and gender issues and to provide concrete tools to anti-racist organizers to help refute stereotypes and myths, and challenge apathy or cynicism. It was housed in the East Engineering Building. Barbara Ransby and Tracye Matthews were important leaders in the organization of the center.,  The University of Michigan Free South Africa Coordinating Committee (FSACC) was a diverse campus-based group of faculty and students opposed to the Apartheid system in South Africa, founded in the Spring of 1985. The group's aims included producing literature, sponsoring events and pressuring institutions to sever economic ties with corporations doing business in South Africa. FSACC records concern activism during the 1980s and early 1990s, especially the construction of an ""anti-apartheid shanty"" on the University of Michigan Diag and a petition to grant Nelson Mandela an honorary degree.,  The Students of Color Coalition (SCC), another campus-based group, formed to protest the mocking use of Native American names, images and regalia by a semi-secret student honor society called Michigamua. In early 2000, SCC members occupied the Michigamua offices in the tower of the Michigan Union for thirty-seven days. As a result of the controversy, Michigamua agreed to stop using Native American practices, and in 2006 adopted a new name, ""The Order of Angell."", ------------------,  1. History of the Center and Program, CAAS organizational archives, Box 16"
9,umich-bhl-2012143,Insurgency,1,abstract,"Papers of Morton Isadore and Katherine Smit Netzorg; their son Morton Jacob Netzorg and his wife Petra Fuld Netzorg; Petra Netzorg's mother Charlotte Fuld, and Petra's younger sister Bracha Fuld. The collection chronicles the history of the Philippine Islands in the 20th century, specifically during the Second World War; life of German Jewry on the eve of World War II; Zionist Insurgency in the British Mandate Palestine; developments in the scholarly field of South East Asian Studies and international publishing and book trade industries related to the region. The collection is a rich source of bibliographic material related to the Pacific Islands, primarily the Philippines, as well as the entire South East Asian region."
