index,repository,folder,filename
0,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-86466.xml
1,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-2011162.xml
2,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-86102.xml
3,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-2014032.xml
4,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-9843.xml
5,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-87209.xml
6,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-0052.xml
7,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-851831-f.xml
8,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-85187.xml
9,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-85193.xml
10,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-8632.xml
11,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-87237.xml
12,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-2014031.xml
13,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-2018019.xml
14,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-851598.xml
15,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-852085.xml
16,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-2008034.xml
17,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-851981.xml
18,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-861116.xml
19,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-9840.xml
20,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-851764.xml
21,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-92954.xml
22,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-2014150.xml
23,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-90202.xml
24,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-85419.xml
25,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-8541.xml
26,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-0336.xml
27,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-90161.xml
28,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-93291.xml
29,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-2011165.xml
30,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-851417.xml
31,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-89340.xml
32,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-852068.xml
33,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-85744.xml
34,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-852069.xml
35,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-85130.xml
36,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-91421.xml
37,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-0420.xml
38,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-851077.xml
39,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-2010155.xml
40,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-93828.xml
41,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-9940.xml
42,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-85899.xml
43,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-85696.xml
44,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-9573.xml
45,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-87365-2.xml
46,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-87490.xml
47,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-8730.xml
48,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-87296.xml
49,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-85481.xml
50,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-2012185.xml
51,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-2019013.xml
52,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-00138.xml
53,Bentley Historical Library (umich-bhl),Bentley Finding Aids - XML,umich-bhl-851677.xml
